embedding_id,umap_x,umap_y,umap_z
embedding_00124,12.347172737,3.010523319,-1.569879889
embedding_00125,9.190764427,7.288139820,2.771981716
embedding_00126,0.168312281,3.264281034,-2.051159382
embedding_00127,11.565414429,4.765752792,4.139834881
embedding_00128,12.304167747,-0.645847201,-2.338637352
embedding_00129,13.921057701,3.618564606,-0.046731584
embedding_00130,6.417004585,3.756508112,-3.713123083
embedding_00131,12.368047714,-0.597169220,-0.378265560
embedding_00132,12.006498337,-1.166525245,-3.663621664
embedding_00133,9.976487160,4.237829208,4.377282619
embedding_00134,8.981867790,6.301095009,-4.385186672
embedding_00135,8.346776962,3.496819258,0.087242968
embedding_00136,10.525012016,-0.245659009,5.520162106
embedding_00137,5.632747173,4.513638020,2.156280994
embedding_00138,12.264139175,8.028479576,3.104389668
embedding_00139,8.605940819,4.619848251,-3.523181677
embedding_00140,8.599997520,4.301534176,-0.569341183
embedding_00141,8.631646156,0.380542696,2.964273214
embedding_00142,10.594522476,-1.864730716,-2.477536917
embedding_00143,8.365434647,0.647611976,5.921530724
embedding_00144,8.592072487,3.506683826,-0.377651930
embedding_00145,11.115592003,1.450039029,-1.857608199
embedding_00146,14.333885193,-1.171696544,-0.294834942
embedding_00147,14.550292015,-1.668015003,-0.139337048
embedding_00148,8.546989441,1.735723376,0.071164645
embedding_00149,3.159626484,3.846486330,-10.304975510
embedding_00150,14.045408249,5.302182674,1.069126844
embedding_00151,11.294004440,1.472781777,-2.397472382
embedding_00152,13.854180336,-1.502994061,-1.096502185
embedding_00153,12.997961998,4.490027905,3.114334106
embedding_00154,11.111417770,1.662940145,3.792557001
embedding_00155,13.880829811,5.213051319,3.052027464
embedding_00156,13.333121300,6.509112358,3.163102150
embedding_00157,13.357824326,7.177280426,-4.805632591
embedding_00158,6.435083866,3.513066769,-3.734381437
embedding_00159,6.723340511,6.201571941,-3.604311466
embedding_00160,7.748289585,6.219144821,-3.534295559
embedding_00161,10.237479210,-0.810530722,5.216053009
embedding_00162,3.946702957,-3.371623755,-5.578220367
embedding_00163,11.549269676,7.345090866,2.606316805
embedding_00164,14.449018478,5.386517525,3.570525885
embedding_00165,6.618846416,3.650906086,-7.127568245
embedding_00166,11.581693649,6.658563137,5.173990250
embedding_00167,11.884270668,0.932158947,9.166410446
embedding_00168,12.010143280,-0.064721234,-3.053609133
embedding_00169,8.771228790,6.578532219,-5.022053242
embedding_00170,12.608604431,2.759692907,3.587793112
embedding_00171,13.832874298,4.612086296,1.027991295
embedding_00172,9.958907127,7.465373039,-2.735100031
embedding_00173,9.512747765,-4.873006821,2.765932322
embedding_00174,8.274106026,6.965552807,2.400968552
embedding_00175,15.442007065,-2.155699253,-0.696503997
embedding_00176,11.372824669,0.454779714,4.721761227
embedding_00177,11.688929558,-0.120072655,3.223737240
embedding_00178,9.403209686,1.196815252,5.818199635
embedding_00179,11.843845367,6.048466206,2.236739874
embedding_00180,14.210174561,1.112191558,0.266899198
embedding_00181,13.632149696,2.220834732,6.509967327
embedding_00182,13.716831207,5.274973869,1.901146650
embedding_00183,13.882411957,6.104527473,-4.363637447
embedding_00184,12.081438065,-0.311907649,2.170801401
embedding_00185,9.357485771,1.737673521,1.926407933
embedding_00186,5.303318501,2.408770084,-4.021240711
embedding_00187,5.597996712,4.282470703,-3.096780300
embedding_00188,7.348742962,0.463912636,5.559355736
embedding_00189,10.981720924,2.814739704,7.356207371
embedding_00190,10.512900352,5.629959583,-3.465893984
embedding_00191,14.871461868,2.722261667,-0.162774146
embedding_00192,10.867521286,5.809044838,1.473010659
embedding_00193,10.255672455,13.583493233,5.932394505
embedding_00194,10.939863205,0.586160064,-2.893418550
embedding_00195,10.988126755,-0.436743587,-3.598320007
embedding_00196,6.221150875,5.858067513,2.285712004
embedding_00197,10.640819550,5.536502361,3.994124651
embedding_00198,8.289640427,4.405850410,-0.065617561
embedding_00199,4.541044712,6.891376019,-0.538053870
embedding_00200,12.360121727,7.877664566,-1.353288412
embedding_00201,11.106311798,5.309909821,-1.302183628
embedding_00202,11.823240280,-0.762937546,-3.020326614
embedding_00203,11.887374878,-0.853985965,-2.851051331
embedding_00204,11.780310631,-0.862163007,-3.074415922
embedding_00205,11.696798325,-0.885141790,-2.981242895
embedding_00206,11.842018127,-0.849982381,-2.899152517
embedding_00207,10.829895020,-1.677405477,-2.634105444
embedding_00208,12.469132423,5.970198631,-3.548385143
embedding_00209,13.472330093,5.771603107,-5.137589455
embedding_00210,5.774150372,2.477476120,-4.963623524
embedding_00211,11.658744812,-0.026952650,4.144223690
embedding_00212,12.380662918,8.449829102,3.361693382
embedding_00213,14.697248459,6.294108868,-4.302438259
embedding_00214,14.127048492,3.359272480,0.039475486
embedding_00215,10.645496368,2.099044323,-2.739041328
embedding_00216,6.278306484,1.496197343,-4.536359310
embedding_00217,3.886454582,5.592328072,-2.446307898
embedding_00218,6.092090130,1.554417729,-4.306271553
embedding_00219,4.413306713,4.960700035,-2.685904264
embedding_00220,9.790012360,5.053414822,-1.837761045
embedding_00221,11.785846710,5.365424633,-3.956913233
embedding_00222,13.190715790,4.642252922,-4.351154327
embedding_00223,11.299147606,5.351129055,-3.507063627
embedding_00224,9.725782394,0.859409511,-3.215830326
embedding_00225,9.958632469,8.460807800,3.229264498
embedding_00226,9.649916649,2.178831100,5.849291325
embedding_00227,11.344044685,4.474611759,0.264845461
embedding_00228,12.904082298,-0.910601914,-1.720469356
embedding_00229,11.663733482,7.175571442,-0.662648857
embedding_00230,12.524985313,3.157636404,-1.704521298
embedding_00231,9.152309418,7.344519615,2.778775692
embedding_00232,0.253065079,3.180479765,-2.133656025
embedding_00233,11.533666611,4.734454155,4.175000191
embedding_00234,12.309818268,-0.759013891,-2.496831417
embedding_00235,14.072956085,3.591527224,0.069704629
embedding_00236,6.364180088,3.802889347,-3.763638258
embedding_00237,12.458737373,-0.639967263,-0.277118385
embedding_00238,12.047505379,-1.152198672,-3.740576982
embedding_00239,10.094520569,4.160158634,4.487677097
embedding_00240,8.909484863,6.307872295,-4.347607613
embedding_00241,8.282217979,3.455600739,0.042186949
