audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_count,mean_s_c,mean_s_r,mean_cas,median_cas
justice_procedural,justice,Freedom Truth and Moral Teleology,false,procedural fairness,valid_but_partial,explicit_catholic,3,0.887469457909618,0.4384825488065813,0.44898690910303674,0.4549790446075506
justice_procedural,justice,Freedom Truth and Moral Teleology,false,procedural fairness,valid_but_partial,integrative,3,0.6446895061477691,0.6739867211415579,-0.0292972149937889,-0.05242579076374787
truth_factual_accuracy,truth,Freedom Truth and Moral Teleology,false,factual accuracy,complementary_levels,bare,1,0.34093163494039297,0.38037482176198756,-0.03944318682159459,-0.03944318682159459
truth_factual_accuracy,truth,Freedom Truth and Moral Teleology,false,factual accuracy,complementary_levels,natural_general,3,0.4999768711213535,0.7494541690946047,-0.24947729797325113,-0.24379695160912446
truth_factual_accuracy,truth,Freedom Truth and Moral Teleology,false,factual accuracy,complementary_levels,natural_ambiguous,3,0.44251236805885114,0.441522359057384,0.0009900090014670997,-0.008975236335034165
truth_factual_accuracy,truth,Freedom Truth and Moral Teleology,false,factual accuracy,complementary_levels,label_free_theological,3,0.7729936500707173,0.5288372032330045,0.24415644683771276,0.22377036534287187
truth_factual_accuracy,truth,Freedom Truth and Moral Teleology,false,factual accuracy,complementary_levels,explicit_catholic,3,0.8873084863705104,0.4766082441349622,0.4107002422355481,0.4331801999373967
truth_factual_accuracy,truth,Freedom Truth and Moral Teleology,false,factual accuracy,complementary_levels,integrative,3,0.67299439974434,0.6265750194531594,0.04641938029118072,0.024911929794124932
goodness_prosocial,goodness,Freedom Truth and Moral Teleology,false,prosocial behaviour,valid_but_partial,bare,1,0.4473052865925573,0.48115304329914094,-0.03384775670658363,-0.03384775670658363
goodness_prosocial,goodness,Freedom Truth and Moral Teleology,false,prosocial behaviour,valid_but_partial,natural_general,3,0.5149168112614808,0.7615520025109683,-0.2466351912494875,-0.25119289950790924
