query_id,audit_id,concept,condition,omitted_reference_count,full_cas,min_loro_cas,max_loro_cas,mean_loro_cas,max_absolute_cas_change,sign_stability_proportion
marriage_civil_contract_natural_ambiguous_p1,marriage_civil_contract,marriage,natural_ambiguous,6,0.0491670325290763,0.02913428947153507,0.06664474736006548,0.049167032529076345,0.020032743057541234,1.0
marriage_civil_contract_natural_ambiguous_p2,marriage_civil_contract,marriage,natural_ambiguous,6,-0.0296098204619169,-0.04719858446766284,-0.011901907870781714,-0.02960982046191692,0.017707912591135185,1.0
marriage_civil_contract_natural_ambiguous_p3,marriage_civil_contract,marriage,natural_ambiguous,6,0.0384179214922353,0.03338188881248694,0.041833606093575504,0.03841792149223538,0.0050360326797483645,1.0
marriage_civil_contract_label_free_theological_p1,marriage_civil_contract,marriage,label_free_theological,6,0.3476573346914592,0.331527219314027,0.3598141220594763,0.34765733469145926,0.016130115377432197,1.0
marriage_civil_contract_label_free_theological_p2,marriage_civil_contract,marriage,label_free_theological,6,0.4034201463403856,0.3842712544479891,0.420724969563672,0.40342014634038564,0.01914889189239649,1.0
marriage_civil_contract_label_free_theological_p3,marriage_civil_contract,marriage,label_free_theological,6,0.3095872096036683,0.27738398301112865,0.3643854897231631,0.3095872096036684,0.05479828011949478,1.0
marriage_civil_contract_explicit_catholic_p1,marriage_civil_contract,marriage,explicit_catholic,6,0.4584749315773838,0.44669165994636234,0.4752368904913726,0.4584749315773838,0.016761958913988795,1.0
marriage_civil_contract_explicit_catholic_p2,marriage_civil_contract,marriage,explicit_catholic,6,0.4786920636661793,0.45508938689393025,0.498306001645214,0.47869206366617933,0.02360267677224903,1.0
marriage_civil_contract_explicit_catholic_p3,marriage_civil_contract,marriage,explicit_catholic,6,0.4167916392086317,0.3862938455699573,0.46638925599894965,0.4167916392086317,0.04959761679031793,1.0
marriage_civil_contract_integrative_p1,marriage_civil_contract,marriage,integrative,6,0.0860725797860687,0.0710083437838831,0.10271918079393993,0.0860725797860687,0.01664660100787123,1.0
marriage_civil_contract_integrative_p2,marriage_civil_contract,marriage,integrative,6,0.0520565430086542,0.01991769304687807,0.09451645150369148,0.0520565430086542,0.04245990849503728,1.0
marriage_civil_contract_integrative_p3,marriage_civil_contract,marriage,integrative,6,0.0910715847516812,0.07326465875285182,0.1072895810715695,0.09107158475168116,0.01780692599882938,1.0
marital_fidelity_exclusivity_bare_p1,marital_fidelity_exclusivity,marital fidelity,bare,6,-0.0229520707840761,-0.03931423159097058,-0.008868280631498138,-0.022952070784076146,0.016362160806894482,1.0
marital_fidelity_exclusivity_natural_general_p1,marital_fidelity_exclusivity,marital fidelity,natural_general,6,-0.2158374091957832,-0.24859202555084536,-0.1954048585526127,-0.21583740919578323,0.03275461635506216,1.0
marital_fidelity_exclusivity_natural_general_p2,marital_fidelity_exclusivity,marital fidelity,natural_general,6,-0.2198142901083294,-0.2749585195386268,-0.1561820383425755,-0.21981429010832945,0.0636322517657539,1.0
marital_fidelity_exclusivity_natural_general_p3,marital_fidelity_exclusivity,marital fidelity,natural_general,6,-0.2250098150020701,-0.2535514939744383,-0.206936149650786,-0.22500981500207015,0.02854167897236823,1.0
marital_fidelity_exclusivity_natural_ambiguous_p1,marital_fidelity_exclusivity,marital fidelity,natural_ambiguous,6,0.0595847700133139,0.03826204568157632,0.07487304640654979,0.05958477001331395,0.021322724331737583,1.0
marital_fidelity_exclusivity_natural_ambiguous_p2,marital_fidelity_exclusivity,marital fidelity,natural_ambiguous,6,-0.0597565529950085,-0.07221116277792916,-0.045653412266626725,-0.05975655299500853,0.014103140728381772,1.0
marital_fidelity_exclusivity_natural_ambiguous_p3,marital_fidelity_exclusivity,marital fidelity,natural_ambiguous,6,-0.0042455675071692,-0.020261801666512813,0.008034729751673741,-0.004245567507169201,0.016016234159343612,0.6666666666666666
marital_fidelity_exclusivity_label_free_theological_p1,marital_fidelity_exclusivity,marital fidelity,label_free_theological,6,0.2653480168283673,0.2500917559619523,0.2775624916358047,0.26534801682836734,0.015256260866414961,1.0
marital_fidelity_exclusivity_label_free_theological_p2,marital_fidelity_exclusivity,marital fidelity,label_free_theological,6,0.2805262024858819,0.25686268931116896,0.2949991760780608,0.2805262024858819,0.023663513174712936,1.0
marital_fidelity_exclusivity_label_free_theological_p3,marital_fidelity_exclusivity,marital fidelity,label_free_theological,6,0.2248351100165614,0.1944359417188446,0.2630982573633659,0.22483511001656145,0.0382631473468045,1.0
marital_fidelity_exclusivity_explicit_catholic_p1,marital_fidelity_exclusivity,marital fidelity,explicit_catholic,6,0.3884328506054532,0.3730273748414171,0.40267758001604936,0.38843285060545313,0.015405475764036058,1.0
marital_fidelity_exclusivity_explicit_catholic_p2,marital_fidelity_exclusivity,marital fidelity,explicit_catholic,6,0.4119307380149751,0.39018569723614904,0.4287127319758448,0.4119307380149751,0.021745040778826052,1.0
marital_fidelity_exclusivity_explicit_catholic_p3,marital_fidelity_exclusivity,marital fidelity,explicit_catholic,6,0.3700145881449942,0.3434732937309456,0.4059957949187275,0.37001458814499416,0.03598120677373329,1.0
marital_fidelity_exclusivity_integrative_p1,marital_fidelity_exclusivity,marital fidelity,integrative,6,0.0700055657593619,0.0436623922933953,0.08604363046751362,0.07000556575936201,0.026343173465966596,1.0
marital_fidelity_exclusivity_integrative_p2,marital_fidelity_exclusivity,marital fidelity,integrative,6,-0.01864491276193,-0.056405616558853455,0.022382174954947542,-0.018644912761929994,0.04102708771687755,0.6666666666666666
marital_fidelity_exclusivity_integrative_p3,marital_fidelity_exclusivity,marital fidelity,integrative,6,0.0441480547025405,0.01954667159203327,0.059903335898876975,0.04414805470254054,0.024601383110507226,1.0
chastity_abstinence_bare_p1,chastity_abstinence,chastity,bare,6,-0.0638630316874545,-0.07331401531263448,-0.04858518489900998,-0.06386303168745457,0.015277846788444516,1.0
chastity_abstinence_natural_general_p1,chastity_abstinence,chastity,natural_general,6,-0.1947186004050736,-0.22881826135266403,-0.17703678671124545,-0.1947186004050736,0.03409966094759043,1.0
chastity_abstinence_natural_general_p2,chastity_abstinence,chastity,natural_general,6,-0.1616322579642073,-0.21788175157010503,-0.0826949661644274,-0.1616322579642073,0.0789372917997799,1.0
chastity_abstinence_natural_general_p3,chastity_abstinence,chastity,natural_general,6,-0.1688733431772089,-0.19824681892888874,-0.13822223796292865,-0.16887334317720895,0.030651105214280244,1.0
chastity_abstinence_natural_ambiguous_p1,chastity_abstinence,chastity,natural_ambiguous,6,0.0973023670584336,0.07761412074743668,0.1131693416023336,0.09730236705843369,0.01968824631099693,1.0
chastity_abstinence_natural_ambiguous_p2,chastity_abstinence,chastity,natural_ambiguous,6,0.000335808205286,-0.011963394962912655,0.014255992513539373,0.0003358082052859479,0.013920184308253373,0.3333333333333333
chastity_abstinence_natural_ambiguous_p3,chastity_abstinence,chastity,natural_ambiguous,6,-0.0039402962364269,-0.012086089705188985,0.007021590019439361,-0.003940296236426999,0.010961886255866261,0.6666666666666666
chastity_abstinence_label_free_theological_p1,chastity_abstinence,chastity,label_free_theological,6,0.2941552324859905,0.2823212823285379,0.3036618187765183,0.29415523248599057,0.011833950157452588,1.0
chastity_abstinence_label_free_theological_p2,chastity_abstinence,chastity,label_free_theological,6,0.3480147090889185,0.33312151027159365,0.3610682729764195,0.3480147090889186,0.01489319881732487,1.0
chastity_abstinence_label_free_theological_p3,chastity_abstinence,chastity,label_free_theological,6,0.2664283487722314,0.23728513302546073,0.30674678128548527,0.26642834877223137,0.040318432513253843,1.0
chastity_abstinence_explicit_catholic_p1,chastity_abstinence,chastity,explicit_catholic,6,0.3804435073189108,0.3672836156795747,0.39316848661124415,0.3804435073189108,0.013159891639336119,1.0
chastity_abstinence_explicit_catholic_p2,chastity_abstinence,chastity,explicit_catholic,6,0.3719164056568993,0.3490618953619017,0.3895684268362041,0.3719164056568993,0.022854510294997632,1.0
chastity_abstinence_explicit_catholic_p3,chastity_abstinence,chastity,explicit_catholic,6,0.3312625181012031,0.3003175495008866,0.3758916188581952,0.33126251810120316,0.04462910075699211,1.0
chastity_abstinence_integrative_p1,chastity_abstinence,chastity,integrative,6,0.0678467544865907,0.04705135247838266,0.08282386244710616,0.06784675448659067,0.020795402008208036,1.0
chastity_abstinence_integrative_p2,chastity_abstinence,chastity,integrative,6,0.0170969657611992,-0.02195614347554964,0.06786008840224089,0.01709696576119925,0.05076312264104169,0.6666666666666666
chastity_abstinence_integrative_p3,chastity_abstinence,chastity,integrative,6,0.0777519982955432,0.052381805271148885,0.09671154811994132,0.07775199829554323,0.02537019302439432,1.0
self_gift_altruism_bare_p1,self_gift_altruism,self-gift,bare,6,0.1008307488556462,0.09180020224202678,0.11658161135205303,0.1008307488556462,0.015750862496406823,1.0
