audit_id,concept,condition,paraphrase_count,mean_s_c,min_s_c,max_s_c,mean_s_r,min_s_r,max_s_r,mean_cas,min_cas,max_cas,cas_standard_deviation,positive_cas_proportion
justice_procedural,justice,explicit_catholic,3,0.887469457909618,0.8771115055228803,0.8927321576018871,0.43848254880658116,0.4183099113540774,0.4593846220713298,0.4489869091030367,0.4177268834515504,0.4742547992500091,0.02873639820954864,1.0
justice_procedural,justice,integrative,3,0.6446895061477691,0.5937346419993822,0.6963887569865236,0.6739867211415579,0.6576786018777051,0.6963709102211494,-0.0292972149937889,-0.0639439598783229,0.028478105660704,0.050365244092380745,0.3333333333333333
truth_factual_accuracy,truth,natural_general,3,0.4999768711213535,0.4964148890593358,0.5035771108403658,0.7494541690946047,0.7372323188623789,0.7709183477529749,-0.2494772979732511,-0.267341236912609,-0.2372937053980199,0.01580864600914299,0.0
truth_factual_accuracy,truth,natural_ambiguous,3,0.442512368058851,0.3650388133784912,0.5247089670337016,0.44152235905738396,0.4320771662738495,0.4467645600993946,0.0009900090014671348,-0.0670383528953583,0.0789836162347938,0.07351927266454877,0.3333333333333333
truth_factual_accuracy,truth,label_free_theological,3,0.7729936500707173,0.75809116130358,0.7893075186896154,0.5288372032330045,0.4920916061037517,0.5478119048760848,0.24415644683771273,0.2114830625844027,0.2972159125858636,0.046359730708654574,1.0
truth_factual_accuracy,truth,explicit_catholic,3,0.8873084863705104,0.8611525064326432,0.9005036431539404,0.4766082441349622,0.4502109923392892,0.5122902968490538,0.4107002422355481,0.3488622095835894,0.4500583171856581,0.05421415333803569,1.0
truth_factual_accuracy,truth,integrative,3,0.67299439974434,0.6422958173712486,0.7200851093328889,0.6265750194531594,0.6173838875771237,0.6340340761982355,0.0464193802911807,0.0225681963306473,0.0917780147487699,0.03929920560939947,1.0
goodness_prosocial,goodness,natural_general,3,0.5149168112614808,0.4957228297784271,0.5278893742819667,0.7615520025109683,0.7469157292863363,0.7825947584489631,-0.24663519124948743,-0.2614565287249144,-0.2272561455156387,0.01754981713129773,0.0
goodness_prosocial,goodness,natural_ambiguous,3,0.4796065005466254,0.4318774867809718,0.5681042754267875,0.5199945782478287,0.4982804701226387,0.558898710039358,-0.0403880777012033,-0.0709270678005175,0.0092055653874295,0.043331507887633305,0.3333333333333333
goodness_prosocial,goodness,label_free_theological,3,0.775422659524716,0.7567651883301499,0.7924153123908514,0.5160463616155114,0.478295437155594,0.5360989449200234,0.2593762979092046,0.2206662434101265,0.3141198752352573,0.048746289253738216,1.0
goodness_prosocial,goodness,explicit_catholic,3,0.8818707859913242,0.857731074512531,0.8969638714664167,0.4616043007500949,0.4452595486072164,0.4711807723429586,0.4202664852412292,0.3865503021695724,0.4517043228592002,0.03263670857348914,1.0
goodness_prosocial,goodness,integrative,3,0.6811992937194278,0.6521474397684557,0.7219957499859359,0.6489452532265215,0.6266570069302454,0.6809175071623944,0.032254040492906304,-0.0114628157585023,0.082734504399011,0.0474614956843362,0.6666666666666666
vocation_career,vocation,natural_general,3,0.5700702821058359,0.5536093693383138,0.5846557273227805,0.7431723962403766,0.7380078528473825,0.7505327829976891,-0.1731021141345406,-0.1969234136593752,-0.1533521255246019,0.02206911794465679,0.0
vocation_career,vocation,natural_ambiguous,3,0.5269798108263882,0.4893469466505473,0.5775304908343667,0.5643472586987189,0.5539976453069969,0.5700318844691789,-0.037367447872330734,-0.0796652996694337,0.0235328455273697,0.054055549374681836,0.3333333333333333
vocation_career,vocation,label_free_theological,3,0.8154874634660599,0.7971644815474993,0.8252122002823059,0.5591505665798243,0.541667844405369,0.5812534344472065,0.2563368968862357,0.2159110471002928,0.2835443558769369,0.03570168771124161,1.0
vocation_career,vocation,explicit_catholic,3,0.8898142659123943,0.8836424676782603,0.8989784446798024,0.4922990010913375,0.4835623989183303,0.505969610196314,0.39751526482105676,0.3776728574819462,0.415416045761472,0.018946358493916897,1.0
vocation_career,vocation,integrative,3,0.7377760498246405,0.7015484834682789,0.7647430098039307,0.6826778921073312,0.6697625786863579,0.6999207477572007,0.05509815771730914,0.0231981335898436,0.0949804311175728,0.03655081103313132,1.0
