locus,concept,concept_type,ambiguity_level,bare_cas,bare_top_catholic_rate,bare_query_count,ordinary_cas,ordinary_top_catholic_rate,ordinary_query_count,academic_cas,academic_top_catholic_rate,academic_query_count,catholic_cas,catholic_top_catholic_rate,catholic_query_count,bare_to_catholic_shift,ordinary_to_catholic_shift,academic_to_catholic_shift,default_cas,default_to_catholic_shift
Human Dignity and Theological Anthropology,personhood,anthropological_philosophical,high,-0.029115223884582542,0.0,1,-0.01717496911684672,0.0,3,0.03827234009901683,0.3333333333333333,3,0.14562568813562393,1.0,3,0.17474091202020647,0.16280065725247064,0.1073533480366071,-0.023145096500714633,0.16877078463633857
Human Dignity and Theological Anthropology,poverty,social_moral,high,-0.23226990699768063,0.0,1,-0.13355863243341445,0.0,3,-0.11697360773881277,0.0,3,0.015828250845273322,1.0,3,0.24809815784295394,0.14938688327868777,0.13280185858408608,-0.18291426971554753,0.19874252056082084
Human Dignity and Theological Anthropology,rational nature,anthropological_philosophical,medium,0.012758159637451194,1.0,1,0.016768135627110808,0.0,3,0.05750497678915658,1.0,3,0.08404147724310558,1.0,3,0.07128331760565439,0.06727334161599477,0.026536500453949,0.014763147632281001,0.06927832961082458
Human Dignity and Theological Anthropology,soul,anthropological_doctrinal,high,-0.02374968528747562,1.0,1,0.005275359749794002,1.0,3,0.047730799516042054,1.0,3,0.11525524556636813,1.0,3,0.13900493085384374,0.10997988581657413,0.06752444605032606,-0.009237162768840809,0.12449240833520893
Human Dignity and Theological Anthropology,subsidiarity,social_doctrine,low,0.040892785787582375,0.0,1,0.10241736471652985,1.0,3,0.10665908952554067,1.0,3,0.12865478098392488,1.0,3,0.08776199519634251,0.026237416267395036,0.021995691458384217,0.07165507525205611,0.05699970573186877
Human Dignity and Theological Anthropology,suffering,anthropological_spiritual,high,-0.10352299809455873,0.0,1,-0.06627309421698253,0.0,3,0.011286153395970647,0.6666666666666666,3,0.09337589244047802,1.0,3,0.19689889053503673,0.15964898665746055,0.08208973904450736,-0.08489804615577062,0.17827393859624863
Human Dignity and Theological Anthropology,unborn life,bioethical_anthropological,high,0.13069800138473509,1.0,1,0.07453742623329164,1.0,3,0.12175432840983075,1.0,3,0.15172287126382192,1.0,3,0.021024869879086833,0.07718544503053028,0.02996854285399117,0.10261771380901336,0.04910515745480856
Human Dignity and Theological Anthropology,vocation,anthropological_spiritual,medium,-0.05033751130104064,0.0,1,0.007569233576456724,0.3333333333333333,3,0.043969367941220604,1.0,3,0.09741533696651457,1.0,3,0.1477528482675552,0.08984610339005784,0.053445969025293964,-0.021384138862291957,0.11879947582880653
Human Dignity and Theological Anthropology,work,social_anthropological,high,-0.11787533760070801,0.0,1,-0.0528200000524521,0.3333333333333333,3,0.014619075258572894,0.6666666666666666,3,0.1519747902949651,1.0,3,0.2698501278956731,0.2047947903474172,0.1373557150363922,-0.08534766882658006,0.23732245912154515
Love Communion and Sacramentality,Eucharist,sacramental,low,0.20536792278289795,1.0,1,0.12442288597424828,1.0,3,0.17558753192424778,1.0,3,0.18829940656820932,1.0,3,-0.017068516214688634,0.06387652059396104,0.012711874643961535,0.1648954043785731,0.023404002189636203
Love Communion and Sacramentality,agape,theological_love,low,0.09242500662803654,1.0,1,0.06775124470392864,0.3333333333333333,3,0.11287301679452262,0.6666666666666666,3,0.18025566637516022,1.0,3,0.08783065974712367,0.11250442167123158,0.0673826495806376,0.08008812566598258,0.10016754070917763
Love Communion and Sacramentality,caritas,theological_virtue,medium,0.039593970775604226,1.0,1,0.10085927744706473,1.0,3,0.12326135734717052,1.0,3,0.13790943026542665,1.0,3,0.09831545948982243,0.03705015281836192,0.014648072918256136,0.07022662411133448,0.06768280615409217
