locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Life and Death / Mortality,dying,pastoral_anthropological,high,catholic,3,0.40496469239393873,0.2932215710481008,0.11174312134583791,1.0,1.0,3.6666666666666665
Life and Death / Mortality,dying,pastoral_anthropological,high,ordinary,3,0.2994082997242609,0.34128926595052084,-0.041880966226259884,0.0,2.3333333333333335,1.0
Life and Death / Mortality,end of life,bioethical_pastoral,high,academic,3,0.44707677165667215,0.3804045935471853,0.0666721781094869,0.3333333333333333,1.6666666666666667,1.3333333333333333
Life and Death / Mortality,end of life,bioethical_pastoral,high,bare,1,0.5066746771335602,0.5166702449321747,-0.009995567798614546,0.0,2.0,1.0
Life and Death / Mortality,end of life,bioethical_pastoral,high,catholic,3,0.4516332407792409,0.3017606849471728,0.14987255583206813,1.0,1.0,3.0
Life and Death / Mortality,end of life,bioethical_pastoral,high,ordinary,3,0.41670012275377905,0.33576919535795846,0.08093092739582064,1.0,1.0,2.0
Life and Death / Mortality,grief,pastoral_spiritual,high,academic,3,0.35244933366775516,0.47658302386601764,-0.12413369019826254,0.0,5.333333333333333,1.0
Life and Death / Mortality,grief,pastoral_spiritual,high,bare,1,0.41873165369033816,0.5751603901386261,-0.15642873644828792,0.0,5.0,1.0
Life and Death / Mortality,grief,pastoral_spiritual,high,catholic,3,0.40801567633946734,0.4095615108807882,-0.0015458345413207897,1.0,1.0,2.3333333333333335
Life and Death / Mortality,grief,pastoral_spiritual,high,ordinary,3,0.3044777303934097,0.4445476333300273,-0.14006990293661753,0.0,6.0,1.0
Life and Death / Mortality,mortality,anthropological_eschatological,high,academic,3,0.38128461241722106,0.3376378476619721,0.043646764755249014,1.0,1.0,2.0
Life and Death / Mortality,mortality,anthropological_eschatological,high,bare,1,0.36495116353034973,0.40506558418273925,-0.040114420652389515,0.0,2.0,1.0
Life and Death / Mortality,mortality,anthropological_eschatological,high,catholic,3,0.3716232677300771,0.23885004222393036,0.13277322550614676,1.0,1.0,3.6666666666666665
Life and Death / Mortality,mortality,anthropological_eschatological,high,ordinary,3,0.34726214508215586,0.30730232993761697,0.03995981514453887,1.0,1.0,2.0
Life and Death / Mortality,mourning,pastoral_liturgical,medium,academic,3,0.4025690774122874,0.47014994621276857,-0.0675808688004812,1.0,1.0,2.0
Life and Death / Mortality,mourning,pastoral_liturgical,medium,bare,1,0.4618197649717331,0.6027910947799683,-0.14097132980823518,1.0,1.0,2.0
Life and Death / Mortality,mourning,pastoral_liturgical,medium,catholic,3,0.4472105065981547,0.41229696075121564,0.0349135458469391,1.0,1.0,3.3333333333333335
Life and Death / Mortality,mourning,pastoral_liturgical,medium,ordinary,3,0.3548865964015325,0.461970051129659,-0.10708345472812651,0.0,2.6666666666666665,1.0
Life and Death / Pastoral Ethics,end-of-life care,bioethical_pastoral,high,academic,3,0.3936832547187805,0.44913909633954363,-0.05545584162076315,0.0,2.0,1.0
Life and Death / Pastoral Ethics,end-of-life care,bioethical_pastoral,high,bare,1,0.4478464901447296,0.5986490190029145,-0.15080252885818485,0.0,4.0,1.0
Life and Death / Pastoral Ethics,end-of-life care,bioethical_pastoral,high,catholic,3,0.4469608048597971,0.4034868150949478,0.04347398976484934,1.0,1.0,2.6666666666666665
